,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mrmr,param_pca,param_sg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
11,4.400430262088776,0.6747876092222566,0.13069868087768555,0.057247534188133956,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, window_length=401)}",0.8471557682083998,0.8906732819776297,0.8652565609087348,0.91991991991992,0.862895504199852,0.8976265915625184,0.8435159107355903,0.8281908150329202,0.8694042940681956,0.028991422357212967,8
12,4.097967743873596,0.7182091984502639,0.10140129923820496,0.035399885357910076,passthrough,PCA(n_components=0.99),"SavitzkyGolayTransformer(polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=201)}",0.8199539252170831,0.8636462549506028,0.7963289376332855,0.8296285415850634,0.792732950341646,0.8796328893582898,0.6983903459876,0.7532869177606019,0.8042000953542715,0.054886299050167606,21
13,3.8440722227096558,0.4895746916570755,0.08901792764663696,0.04175292583240263,passthrough,PCA(n_components=0.99),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8537347155768209,0.8842919005962485,0.8122035078556817,0.8743743743743744,0.8691354397876138,0.8657611140448669,0.8574219131999452,0.8794268596900175,0.8620437281406961,0.021177107421248058,10
14,4.1189368069171906,0.6134749817321924,0.1505092978477478,0.027410239473434777,passthrough,PCA(n_components=0.99),"SavitzkyGolayTransformer(polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=401)}",0.7353579656211235,0.8120022196109153,0.7632034208121165,0.7954693824259041,0.6764481873177525,0.7815158716188465,0.6921145533845763,0.7201672596409439,0.7470348575540223,0.04592651678075776,24
15,4.158065885305405,0.5213024423293813,0.15761703252792358,0.06270159965624723,passthrough,PCA(n_components=0.99),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8471557682083998,0.92095356225791,0.8905318361840101,0.9662162162162162,0.8814140227183705,0.9031542764380293,0.8634605605429404,0.8794728663149716,0.894044888610106,0.034521683533996324,3
16,4.3783532083034515,1.0459917123211506,0.15194493532180786,0.06908137662407778,passthrough,PCA(n_components=0.99),SavitzkyGolayTransformer(window_length=401),"{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(window_length=401)}",0.8199539252170831,0.856889498193846,0.816457762109936,0.8821647734691213,0.7994897070984028,0.8849747697001702,0.7163669346163626,0.7459769762401341,0.815284293330632,0.05692270383417606,20
17,4.243041157722473,0.9204815194514041,0.14071476459503174,0.05441974061362269,passthrough,PCA(n_components=0.99),"SavitzkyGolayTransformer(deriv=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.99), 'sg': SavitzkyGolayTransformer(deriv=1, window_length=401)}",0.8544657097288676,0.8906732819776297,0.8652565609087348,0.9202952952952954,0.862895504199852,0.9054597195329461,0.8435159107355903,0.8448963317384369,0.8734322892646691,0.026846874917572688,7
18,3.998870998620987,0.9199303065088308,0.0972302258014679,0.02280854253960754,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=201)}",0.8265328725855041,0.8775351438394917,0.816457762109936,0.8754080167123645,0.8242481612046829,0.90544260595748,0.7434137182420935,0.7846583241320083,0.8317120755979451,0.049713131616187255,18
19,4.617661416530609,1.2435430522678086,0.08385723829269409,0.026497331518119494,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8423710792131844,0.8910486573530052,0.8189602646124385,0.8743743743743744,0.8691354397876138,0.8657611140448669,0.8647318547204131,0.8589590234327077,0.8606677259423255,0.020316970750628858,12
20,3.930596202611923,0.2842095417779465,0.11810293793678284,0.054198099291711446,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=401)}",0.8085902888534469,0.8636462549506028,0.7988314401357879,0.8337413500456979,0.7767169343256299,0.838680103268204,0.7006786755070508,0.7376497771234614,0.7948168530262352,0.051039311190365665,23
21,3.921827018260956,0.27876412988310306,0.12434351444244385,0.02879451748090291,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8610446570972886,0.9385798842320581,0.8837750794272533,0.9662162162162162,0.8881707794751272,0.9031542764380293,0.8634605605429404,0.8794728663149716,0.8979842899679855,0.034510198893549726,1
22,4.113861709833145,0.33639356125848074,0.11969992518424988,0.04167737090420733,passthrough,PCA(n_components=0.999),SavitzkyGolayTransformer(window_length=401),"{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(window_length=401)}",0.8265328725855041,0.8775351438394917,0.816457762109936,0.8686512599556078,0.8310049179614397,0.90544260595748,0.7434137182420935,0.7912372715004293,0.8325344440189978,0.048205116023676546,17
23,4.4756759107112885,1.0935446265653264,0.11700329184532166,0.026797568043296256,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, window_length=401)}",0.8610446570972886,0.8906732819776297,0.8652565609087348,0.9202952952952954,0.8490066153109631,0.9054597195329461,0.8435159107355903,0.8701488569909623,0.8756751122311763,0.02549898909618707,4
24,3.9627601504325867,0.8193905613580706,0.07699146866798401,0.020159639564206626,passthrough,PCA(n_components=0.9999),"SavitzkyGolayTransformer(polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=201)}",0.8265328725855041,0.8775351438394917,0.816457762109936,0.8686512599556078,0.8103592723157941,0.9193314948463689,0.7272193862582879,0.7955107757739336,0.8301997459606155,0.054849611544063356,19
25,3.833605647087097,0.6263773553367165,0.07621064782142639,0.0214556276562506,passthrough,PCA(n_components=0.9999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8431020733652312,0.8910486573530052,0.8189602646124385,0.8747497497497497,0.8691354397876138,0.8561457294294823,0.8647318547204131,0.8589590234327077,0.8596040990563303,0.020223457570772523,14
26,4.131899774074554,0.9830659939323306,0.12039467692375183,0.025123740000559842,passthrough,PCA(n_components=0.9999),"SavitzkyGolayTransformer(polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=401)}",0.8151692362218679,0.8775351438394917,0.7988314401357879,0.8404981068024546,0.7902304478391435,0.8525689921570928,0.7006786755070508,0.7515386660123502,0.803381338564405,0.05346022857851918,22
27,3.8727657198905945,0.45025715126124793,0.11196291446685791,0.009619289655076703,passthrough,PCA(n_components=0.9999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8610446570972886,0.9318231274753014,0.8837750794272533,0.9662162162162162,0.8881707794751272,0.9031542764380293,0.8634605605429404,0.8860518136833926,0.8979620637944435,0.03321220126732587,2
28,3.5914215743541718,0.360148468890814,0.12732207775115967,0.04268120471800573,passthrough,PCA(n_components=0.9999),SavitzkyGolayTransformer(window_length=401),"{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(window_length=401)}",0.8265328725855041,0.8775351438394917,0.816457762109936,0.861894503198851,0.8242481612046829,0.90544260595748,0.7434137182420935,0.8147415450047029,0.8337832890178427,0.045842708373398766,16
29,3.201636105775833,0.2409411991441565,0.06713104248046875,0.020520487262612692,passthrough,PCA(n_components=0.9999),"SavitzkyGolayTransformer(deriv=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9999), 'sg': SavitzkyGolayTransformer(deriv=1, window_length=401)}",0.8544657097288676,0.8906732819776297,0.8652565609087348,0.9135385385385386,0.8490066153109631,0.9054597195329461,0.8435159107355903,0.8701488569909623,0.874008149215529,0.024641997397718298,6
